(152,28)
(76,50)
(129,3)
(68,30)
(-29,44)
(178,72)
(-47,75)
(-20,30)
(-60,80)
(41,31)
(56,9)
(-12,37)
(84,6)
(-27,19)
(-31,19)
(-65,30)
(-81,27)
(-135,89)
(-88,79)
(-95,30)
(-9,12)
(12,5)
(-42,3)
(-117,26)
(22,77)
(-130,22)
(-161,22)
(-176,20)
(-148,24)
(-141,22)
(-196,23)
(-153,25)
(1,-3)
(1,-3)
(81,6)
(-8,64)
(-26,69)
(191,57)
(-1,72)
(-4,71)
(44,39)
(24,4)
(-70,23)
(41,-3)
(-12,238)
(1,-4)
(1,-3)
(1,-3)
(-69,11)
(0,-3)
(0,-4)
(-118,14)
(-140,8)
(-147,15)
(-119,10)
(-150,15)
(50,16)
(12,1)
(-111,195)
(-185,195)
(-184,10)
(0,-4)
(0,-4)
(-1,-4)
(64,17)
(75,12)
(62,10)
(-15,10)
(38,6)
(176,46)
(-29,26)
(-34,19)
(-6,46)
(7,31)
(-1,25)
(8,28)
(-31,50)
(-63,52)
(0,-3)
(0,-4)
(0,-4)
(0,-3)
(-20,-11)
(5,-12)
(84,158)
(0,-4)
(57,175)
(14,222)
(0,-4)
(0,-4)
(-105,208)
(0,-4)
(0,-4)
(-1,-4)
(0,-4)
(-1,-5)
(1,-3)
(231,94)
(63,-1)
(5,2)
(177,-1)
(155,-2)
(-29,19)
(13,-2)
(69,-18)
(-65,10)
(-60,16)
(29,5)
(100,-6)
(-68,2)
(1,-4)
(-79,5)
(1,-4)
(0,-4)
(1,-4)
(89,113)
(-138,-4)
(0,-4)
(55,2)
(57,139)
(-96,-2)
(-184,-1)
(-178,-9)
(0,-4)
(0,-4)
(0,-4)
(-1,-4)
(-1,-4)
(80,-3)
(-6,59)
(29,1)
(47,-1)
(1,-3)
(-27,7)
(-38,7)
(-19,53)
(52,-6)
(-68,12)
(-9,58)
(-69,12)
(1,-4)
(1,-4)
(1,-4)
(0,-3)
(1,-4)
(1,-4)
(1,-4)
(0,-4)
(0,-4)
(-147,-16)
(0,-4)
(0,-4)
(-98,-5)
(35,5)
(-176,-14)
(25,105)
(0,-4)
(0,-4)
(4,136)
(-142,196)
(22,17)
(68,27)
(-6,15)
(-7,15)
(6,13)
(125,10)
(-11,26)
(149,3)
(-47,38)
(-20,24)
(-37,19)
(12,31)
(-48,1)
(0,-4)
(1,-4)
(1,-4)
(1,-4)
(1,-4)
(0,-4)
(0,-4)
(-128,-20)
(10,-4)
(45,-31)
(0,-4)
(-92,158)
(-187,-14)
(-137,-15)
(-151,-16)
(-205,-7)
(-228,-12)
(-223,-29)
(-1,-4)
(77,24)
(13,11)
(-8,9)
(71,-10)
(75,17)
(64,28)
(60,26)
(105,29)
(100,29)
(48,54)
(80,175)
(-17,11)
(1,-4)
(1,-4)
(1,-4)
(1,-4)
(0,-4)
(0,-4)
(1,-4)
(-121,5)
(-144,-3)
(-99,-24)
(8,100)
(-157,-31)
(-140,-19)
(19,15)
(-200,-19)
(-164,-43)
(-181,47)
(-1,-5)
(2,-3)
(-228,-34)
(2,-4)
(26,-3)
(99,-43)
(81,13)
(82,15)
(65,26)
(53,16)
(56,17)
(100,21)
(36,28)
(-34,-12)
(31,19)
(1,-4)
(1,-4)
(1,-4)
(0,-4)
(1,29)
(62,39)
(-19,5)
(39,31)
(34,29)
(-152,-5)
(-58,-30)
(12,-36)
(-73,-34)
(-158,-34)
(-113,-12)
(-198,-9)
(-222,33)
(-216,15)
(-186,-15)
(-43,-10)
(4,-1)
(28,9)
(27,-12)
(14,8)
(1,-4)
(94,30)
(42,-11)
(72,-4)
(-12,1)
(133,22)
(33,-4)
(108,18)
(1,-4)
(1,-4)
(1,-4)
(1,-4)
(1,-4)
(-8,-4)
(-19,3)
(-4,15)
(11,-10)
(-63,15)
(-170,-20)
(13,-42)
(-182,23)
(-198,25)
(-137,-41)
(-139,-25)
(-217,-25)
(-207,-21)
(-238,-16)
(-245,-5)
(3,-5)
(39,-28)
(2,-4)
(23,-30)
(86,-2)
(129,4)
(54,8)
(-15,-17)
(46,-13)
(-12,20)
(-47,-20)
(19,10)
(1,-4)
(1,-4)
(0,-4)
(0,-4)
(68,20)
(-19,11)
(-11,-8)
(17,18)
(5,6)
(9,15)
(-64,1)
(-133,-1)
(-157,14)
(-118,-4)
(-164,-38)
(-173,-40)
(-163,-52)
(-2,-4)
(-222,-16)
(-25,-10)
(28,-16)
(-3,-22)
(2,-4)
(36,6)
(159,8)
(73,-7)
(-7,-28)
(148,3)
(-21,-29)
(32,5)
(31,-6)
(30,-22)
(29,-18)
(0,-4)
(0,-4)
(0,-4)
(41,-19)
(-22,3)
(1,-4)
(43,2)
(-117,-11)
(-153,-29)
(-114,-25)
(-84,-5)
(-157,-5)
(-153,-5)
(-164,-49)
(-59,-77)
(-144,-59)
(-231,-17)
(-236,-14)
(-42,-9)
(2,-4)
(17,-46)
(49,-17)
(81,-10)
(11,-10)
(9,-43)
(-4,-43)
(-11,-37)
(128,-14)
(136,-40)
(161,-30)
(-45,-44)
(71,-7)
(1,-4)
(0,-4)
(0,-4)
(-12,-2)
(36,-19)
(-9,-33)
(44,-2)
(36,-2)
(34,-2)
(-170,-41)
(-141,-5)
(-176,-32)
(-83,-60)
(-188,-42)
(-198,-53)
(-168,-61)
(-164,-69)
(0,-5)
(-158,107)
(2,-4)
(83,-58)
(19,-42)
(17,-48)
(167,-12)
(7,-51)
(158,-13)
(57,-12)
(68,-38)
(-12,-9)
(76,-19)
(117,-52)
(1,-5)
(0,-5)
(1,-5)
(1,-5)
(1,-5)
(1,-5)
(1,-4)
(-105,-55)
(-60,-19)
(-101,-9)
(17,-30)
(-119,-6)
(-92,-25)
(-197,-34)
(-89,-27)
(-9,-4)
(12,-5)
(-24,-4)
(0,-5)
(-1,-5)
(3,-5)
(2,-5)
(41,-16)
(27,-57)
(62,-67)
(64,-20)
(73,-35)
(34,-46)
(33,-29)
(95,-22)
(9,-5)
(5,-5)
(1,-5)
(1,-5)
(1,-5)
(1,-5)
(1,-5)
(0,-5)
(1,-5)
(-123,-45)
(78,-27)
(29,-9)
(27,-7)
(21,-31)
(-130,-43)
(-187,-8)
(-23,-89)
(0,-5)
(0,-5)
(0,-5)
(-233,-72)
(-1,-5)
(36,-62)
(48,-51)
(40,-47)
(-8,-54)
(18,-22)
(-8,-65)
(-47,-49)
(-53,-45)
(2,-5)
(2,-5)
(1,-5)
(2,-5)
(1,-5)
(1,-5)
(1,-5)
(51,-20)
(0,-5)
(0,-5)
(0,-5)
(28,-3)
(56,-21)
(-28,-27)
(-67,-56)
(-132,-53)
(-31,-64)
(-98,-41)
(-167,-56)
(-100,-98)
(-3,-5)
(0,-5)
(-1,-5)
(-199,-72)
(3,-5)
(3,-5)
(-1,-46)
(3,-5)
(2,-5)
(2,-5)
(2,-5)
(2,-5)
(2,-5)
(1,-5)
(1,-5)
(2,-5)
(0,-5)
(1,-5)
(1,-5)
(1,-5)
(0,-5)
(0,-5)
(1,-5)
(-14,-88)
(0,-5)
(0,-5)
(1,-5)
(-65,77)
(-74,77)
(-80,-105)
(-37,18)
(-140,-103)
(-7,-5)
(-1,-5)
(-1,-5)
(-1,-5)
(3,-5)
(2,-5)
(2,-5)
(68,-104)
(145,-88)
(2,-5)
(107,18)
(114,-88)
(-55,-56)
(2,-5)
(140,-35)
(1,-5)
(1,-5)
(1,-5)
(1,-5)
(99,-24)
(1,-5)
(1,-5)
(-82,86)
(56,-94)
(-91,-110)
(18,-2)
(-146,-108)
(-93,-106)
(-154,-105)
(-172,-114)
(-12,16)
(-31,15)
(0,-6)
(-1,-5)
(-219,-104)
(-1,-5)
(3,-5)
(210,-55)
(3,-5)
(21,-72)
(144,-82)
(165,-46)
(2,-5)
(39,-81)
(-17,-39)
(2,-6)
(123,-116)
(72,-42)
(1,-5)
(-1,-2)
(-1,-3)
(1,-6)
(1,-6)
(-124,-77)
(77,-78)
(-136,-76)
(-117,-102)
(-55,-113)
(-121,-110)
(-22,14)
(-137,-100)
(13,-36)
(-111,-135)
(3,-36)
(-1,-5)
(0,-6)
(-1,-6)
(-1,-6)
(3,-6)
(3,-6)
(3,-6)
(3,-6)
(201,-68)
(138,-87)
(2,-6)
(2,-6)
(115,-57)
(167,-77)
(1,-6)
(2,-6)
(4,-10)
(0,-4)
(6,-84)
(1,-6)
(1,-6)
(1,-6)
(1,-6)
(91,-67)
(0,-6)
(1,-6)
(62,-125)
(0,-6)
(29,-36)
(0,-6)
(0,-6)
(0,-6)
(-201,-126)
(-1,-6)
(-1,-6)
(-1,-6)
(3,-6)
(3,-6)
(3,-6)
(3,-6)
(-11,-66)
(70,-8)
(2,-6)
(2,-6)
(2,-6)
(2,-6)
(2,-6)
(7,-14)
(2,-7)
(1,-6)
(1,-6)
(1,-6)
(1,-6)
(107,-58)
(76,-121)
(45,50)
(-137,-134)
(72,17)
(62,7)
(56,-125)
(21,67)
(-184,15)
(-3,-3)
(-119,51)
(-201,-135)
(-1,-6)
(-80,-148)
(-2,-7)
(3,-6)
(3,-6)
(3,-6)
(-11,-41)
(3,-6)
(81,40)
(38,-127)
(107,-86)
(2,-6)
(2,-6)
(2,-6)
(1,-5)
(2,-6)
(1,-6)
(1,-7)
(1,-6)
(-29,-159)
(35,-159)
(-88,-125)
(1,-7)
(0,-7)
(-3,-7)
(-14,-7)
(9,-28)
(19,-6)
(-79,0)
(0,-7)
(0,-7)
(0,-7)
(-1,-6)
(-1,-7)
(-1,-7)
(86,59)
(3,-7)
(227,-141)
(-6,-3)
(-16,55)
(193,-42)
(3,-7)
(52,-21)
(32,-67)
(3,-8)
(4,-10)
(2,-7)
(2,-7)
(2,-7)
(2,-6)
(1,-6)
(1,-7)
(1,-7)
(-57,-70)
(-60,-68)
(-65,-66)
(-70,-66)
(27,-3)
(-88,-66)
(18,-10)
(-30,-104)
(-80,-85)
(0,-6)
(-1,-7)
(0,-147)
(-1,-7)
(-1,-7)
(11,-6)
(88,52)
(3,-7)
(3,-7)
(3,-7)
(207,-26)
(3,-6)
(4,-5)
(7,-14)
(8,-16)
(-1,-2)
(2,-7)
(2,-7)
(2,-7)
(2,-7)
(-3,-110)
(1,-7)
(54,-78)
(-6,-109)
(-20,-102)
(-41,-92)
(19,-98)
(-47,-112)
