(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,2)
(1,16)
(1,14)
(0,0)
(8,1)
(0,1)
(51,205)
(-11,0)
(-24,0)
(0,0)
(32,13)
(0,0)
(0,0)
(0,0)
(96,62)
(0,0)
(-3,0)
(32,14)
(-5,5)
(8,10)
(38,41)
(40,35)
(8,22)
(0,0)
(-1,0)
(0,0)
(-17,1)
(1,-1)
(0,0)
(0,0)
(0,0)
(0,0)
(-1,-6)
(0,2)
(0,0)
(0,1)
(7,1)
(131,108)
(-1,0)
(2,0)
(2,3)
(-25,-3)
(-1,1)
(0,1)
(0,1)
(0,1)
(78,59)
(1,2)
(29,13)
(32,16)
(37,37)
(19,12)
(-15,-8)
(22,28)
(7,8)
(20,6)
(-2,7)
(0,-4)
(-17,-5)
(0,0)
(0,0)
(1,0)
(0,1)
(-1,0)
(1,1)
(0,-1)
(0,1)
(0,3)
(-49,73)
(136,135)
(134,156)
(-5,6)
(-24,14)
(136,174)
(-11,-3)
(-8,-5)
(0,0)
(0,0)
(-6,-3)
(67,53)
(58,46)
(-7,-3)
(-4,0)
(14,10)
(25,30)
(29,32)
(-11,-8)
(5,11)
(-3,0)
(4,-3)
(-19,3)
(0,0)
(0,0)
(0,1)
(0,1)
(0,0)
(1,1)
(0,-1)
(0,0)
(0,-2)
(-48,80)
(-33,144)
(-1,5)
(4,-3)
(-93,114)
(-100,96)
(1,-1)
(1,0)
(0,0)
(6,-1)
(0,0)
(-2,0)
(1,0)
(-1,0)
(-15,-3)
(26,26)
(22,29)
(-23,-16)
(-2,0)
(24,7)
(-6,-2)
(3,3)
(-23,0)
(0,0)
(128,-1)
(3,0)
(-8,0)
(1,2)
(0,1)
(0,-2)
(0,0)
(0,2)
(-61,116)
(127,124)
(-14,-3)
(-72,100)
(-8,9)
(1,-1)
(0,0)
(57,189)
(63,46)
(0,0)
(1,0)
(1,0)
(0,0)
(1,0)
(0,0)
(1,1)
(0,0)
(-23,-18)
(-55,-31)
(19,12)
(-18,-18)
(-43,-25)
(-4,-4)
(0,0)
(1,3)
(-2,-2)
(179,181)
(-5,-9)
(1,1)
(0,1)
(0,2)
(0,29)
(0,4)
(0,3)
(-65,87)
(-21,136)
(-36,124)
(0,-1)
(1,0)
(0,0)
(0,0)
(-1,0)
(1,0)
(1,0)
(0,0)
(0,0)
(-1,1)
(0,0)
(1,3)
(24,26)
(-11,-12)
(-10,-10)
(-40,-38)
(-43,-31)
(-41,-29)
(0,1)
(0,1)
(-1,0)
(-12,-6)
(-3,-3)
(0,0)
(0,0)
(0,0)
(0,8)
(-4,118)
(0,7)
(8,-2)
(-63,65)
(56,51)
(1,0)
(8,0)
