(0,0)
(0,0)
(-9,6)
(-1,0)
(-2,33)
(0,7)
(0,0)
(0,0)
(0,0)
(10,0)
(0,0)
(33,7)
(0,0)
(0,0)
(35,14)
(96,65)
(34,14)
(0,0)
(0,0)
(23,13)
(4,0)
(48,20)
(43,20)
(56,47)
(52,34)
(45,35)
(6,0)
(2,0)
(-2,0)
(1,0)
(0,0)
(-26,0)
(195,78)
(193,79)
(0,1)
(0,0)
(1,0)
(-1,-2)
(0,-2)
(0,-2)
(0,3)
(0,0)
(1,0)
(-7,-3)
(-2,1)
(-16,3)
(-28,-5)
(-7,-3)
(7,198)
(0,0)
(0,1)
(-5,-4)
(28,7)
(29,9)
(24,5)
(-14,-2)
(-16,-3)
(7,4)
(17,16)
(11,11)
(-2,-4)
(-1,-1)
(1,-3)
(-16,7)
(0,0)
(0,0)
(-1,-1)
(169,22)
(0,0)
(-8,-14)
(-1,-16)
(2,30)
(0,-3)
(0,0)
(-57,82)
(154,144)
(-91,97)
(-93,98)
(124,143)
(-46,-9)
(0,0)
(0,0)
(0,0)
(-1,-2)
(49,34)
(-8,-4)
(56,45)
(50,47)
(39,40)
(26,24)
(5,1)
(16,21)
(5,5)
(14,-9)
(-5,2)
(-3,-2)
(0,-1)
(135,-3)
(0,0)
(0,0)
(0,0)
(0,-1)
(-1,-24)
(0,-1)
(0,-11)
(0,-3)
(27,-2)
(-64,68)
(1,-3)
(-93,108)
(-101,100)
(0,0)
(2,0)
(-12,4)
(-2,0)
(0,0)
(-4,-1)
(-2,0)
(12,4)
(56,46)
(14,9)
(-24,-8)
(-8,-7)
(14,14)
(22,1)
(-13,-15)
(0,2)
(-38,-21)
(0,0)
(1,0)
(191,183)
(181,191)
(2,3)
(0,0)
(0,0)
(0,0)
(0,9)
(-49,96)
(-58,94)
(-4,-5)
(-38,130)
(104,134)
(3,-3)
(1,0)
(4,0)
(1,0)
(2,0)
(-4,0)
(-157,43)
(0,0)
(0,1)
(-1,0)
(1,0)
(29,33)
(11,9)
(13,12)
(20,6)
(-4,-5)
(-1,-1)
(-19,-2)
(0,-1)
(1,2)
(0,0)
(0,0)
(4,6)
(-1,-1)
(0,0)
(0,2)
(0,2)
(-25,104)
(1,-1)
(-74,81)
(0,-1)
(-37,144)
(1,0)
(23,2)
(3,1)
(-3,0)
(1,0)
(12,-2)
(-1,1)
(1,0)
(1,0)
(3,1)
(1,1)
(-1,-2)
(11,12)
(-13,-16)
(2,-1)
(-14,-21)
(-2,0)
(0,2)
(0,0)
(0,-1)
(0,-1)
(172,179)
(-7,-5)
(0,0)
(158,44)
(0,-2)
(0,5)
(15,136)
(6,16)
(-52,104)
(-1,14)
(56,25)
(2,0)
