(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(2,1)
(1,16)
(1,11)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(1,0)
(1,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(6,0)
(-1,0)
(-11,0)
(7,1)
(46,31)
(38,31)
(2,0)
(1,0)
(-1,0)
(0,0)
(0,0)
(0,0)
(0,0)
(1,0)
(1,0)
(0,-1)
(0,-5)
(0,-2)
(0,-5)
(0,1)
(0,-1)
(1,-1)
(0,-1)
(-19,-3)
(0,0)
(-28,-4)
(-22,-6)
(0,-1)
(0,-1)
(1,-2)
(2,1)
(68,43)
(11,2)
(50,32)
(-2,-2)
(1,0)
(22,19)
(19,18)
(1,-1)
(4,5)
(1,3)
(5,-7)
(-18,-2)
(0,0)
(0,0)
(1,0)
(1,0)
(1,0)
(0,0)
(0,-2)
(0,-3)
(0,15)
(1,-4)
(1,0)
(158,157)
(136,139)
(0,0)
(1,1)
(-30,-6)
(0,-1)
(0,-1)
(72,64)
(0,-1)
(0,-1)
(66,50)
(-16,-9)
(12,6)
(0,-2)
(-24,-8)
(13,14)
(10,9)
(6,9)
(0,-9)
(-5,1)
(-27,-7)
(1,-1)
(0,0)
(0,0)
(0,0)
(0,-1)
(0,0)
(-1,-22)
(0,-4)
(0,8)
(1,-4)
(-56,68)
(157,152)
(-18,-6)
(-16,15)
(-19,7)
(0,0)
(0,1)
(-3,2)
(1,0)
(-8,0)
(-10,0)
(10,3)
(1,0)
(-5,-2)
(8,3)
(-19,-8)
(4,-3)
(30,21)
(1,-1)
(-13,-14)
(-6,-1)
(-14,-1)
(0,0)
(1,0)
(188,179)
(182,168)
(2,3)
(0,0)
(1,1)
(1,11)
(0,0)
(1,-1)
(88,32)
(16,-16)
(-85,83)
(-26,1)
(0,-5)
(2,-1)
(1,0)
(3,-1)
(2,-1)
(3,0)
(2,0)
(1,0)
(1,0)
(2,-1)
(0,0)
(11,13)
(-6,-8)
(-2,-7)
(-35,-32)
(16,-4)
(-3,4)
(-15,0)
(1,1)
(5,5)
(181,172)
(179,169)
(-1,-4)
(-3,-4)
(1,0)
(0,-4)
(0,-8)
(1,-6)
(26,-6)
(-50,123)
(-35,104)
(-24,3)
(-91,107)
(1,0)
(6,0)
(10,0)
(2,-1)
(2,-1)
(3,-1)
(10,-1)
(1,0)
(1,-1)
(2,-1)
(1,-1)
(-24,-18)
(1,4)
(-9,-10)
(-23,-33)
(-1,1)
(-24,-18)
(1,0)
(0,0)
(2,1)
(0,0)
(174,170)
(0,0)
(0,-1)
(0,-5)
(146,31)
(1,-14)
(0,-3)
(-41,108)
(-1,7)
(-8,21)
