(0,0)
(0,0)
(-1,0)
(130,36)
(-1,0)
(1,3)
(0,0)
(1,15)
(0,0)
(0,0)
(0,0)
(-2,0)
(-96,87)
(0,0)
(32,209)
(112,86)
(-1,0)
(0,1)
(0,0)
(75,58)
(0,0)
(30,16)
(45,31)
(-16,3)
(10,12)
(9,17)
(35,32)
(10,23)
(1,0)
(-45,41)
(0,0)
(-26,7)
(0,1)
(194,82)
(148,22)
(0,0)
(-24,1)
(1,-1)
(0,-3)
(2,29)
(0,-4)
(7,3)
(-1,2)
(-6,-1)
(1,0)
(18,10)
(-29,-7)
(0,1)
(-10,-5)
(0,0)
(-1,4)
(-5,-4)
(51,30)
(35,18)
(14,7)
(-13,-2)
(26,26)
(-25,-6)
(4,7)
(14,23)
(9,13)
(12,5)
(0,18)
(-14,11)
(0,0)
(-2,1)
(129,22)
(0,1)
(0,0)
(-1,0)
(0,-2)
(0,-1)
(0,39)
(-61,85)
(-67,88)
(-74,83)
(143,170)
(-92,127)
(-34,-3)
(-32,-6)
(-34,-11)
(0,1)
(23,32)
(-2,-1)
(62,52)
(77,60)
(27,14)
(-4,2)
(-2,-2)
(-32,-12)
(1,3)
(3,11)
(-9,-9)
(3,4)
(7,10)
(-2,10)
(1,22)
(0,0)
(-1,2)
(0,0)
(1,0)
(-6,-8)
(-1,-9)
(-1,-7)
(0,-8)
(31,0)
(-34,156)
(124,114)
(-91,124)
(-25,9)
(-34,-4)
(-1,2)
(-119,0)
(0,0)
(-16,3)
(1,0)
(23,6)
(-8,-3)
(-1,0)
(24,25)
(23,25)
(25,31)
(-41,-22)
(-2,0)
(-11,-11)
(-10,-12)
(-5,11)
(0,11)
(0,0)
(100,179)
(1,4)
(182,175)
(167,144)
(0,0)
(0,-1)
(0,0)
(0,-16)
(23,19)
(7,14)
(1,12)
(-7,8)
(-10,24)
(1,0)
(0,1)
(8,-2)
(-29,178)
(1,1)
(6,0)
(-144,15)
(2,1)
(0,0)
(-173,-29)
(3,3)
(21,29)
(-12,-11)
(-2,0)
(-33,-28)
(13,3)
(0,3)
(-3,11)
(194,64)
(5,8)
(0,0)
(180,179)
(-1,-1)
(-3,-4)
(0,1)
(1,16)
(0,-24)
(7,9)
(0,4)
(-42,126)
(5,0)
(-58,107)
(1,0)
(-1,0)
(-8,-2)
(-6,0)
(1,0)
(2,1)
(2,1)
(1,1)
(1,1)
(-3,1)
(1,0)
(1,1)
(0,0)
(-5,-6)
(-56,-37)
(-27,-33)
(-43,-35)
(-40,-25)
(0,0)
(0,1)
(5,29)
(-3,-1)
(2,-1)
(1,2)
(0,0)
(-1,-16)
(142,40)
(9,19)
(-1,-2)
(8,2)
(106,99)
(0,1)
