(0,0)
(0,0)
(15,5)
(-21,3)
(5,5)
(1,2)
(0,0)
(2,26)
(0,0)
(14,0)
(0,0)
(19,1)
(-5,0)
(0,0)
(6,3)
(5,3)
(0,0)
(0,0)
(0,0)
(56,33)
(-1,0)
(1,3)
(15,87)
(-5,2)
(31,33)
(-21,0)
(34,37)
(2,0)
(-5,0)
(11,0)
(0,0)
(-19,11)
(0,0)
(0,0)
(-10,-8)
(0,0)
(-24,1)
(0,0)
(0,1)
(0,-1)
(141,88)
(0,1)
(140,123)
(-1,-1)
(1,1)
(1,1)
(-40,-6)
(-9,-3)
(-16,-7)
(0,1)
(0,1)
(17,11)
(1,2)
(32,14)
(0,1)
(60,49)
(-20,-7)
(-5,-3)
(20,23)
(32,17)
(-6,-3)
(15,-1)
(0,-4)
(0,-5)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,4)
(1,13)
(0,-7)
(-49,72)
(-68,80)
(-6,-2)
(-91,98)
(-25,10)
(-35,-2)
(-31,-3)
(-38,-10)
(53,87)
(0,0)
(-27,-11)
(61,49)
(-2,0)
(1,1)
(43,42)
(28,27)
(26,31)
(35,30)
(3,8)
(-8,-5)
(1,-15)
(-20,-10)
(-3,-13)
(229,-24)
(0,0)
(0,0)
(0,0)
(0,0)
(1,1)
(0,1)
(0,0)
(141,67)
(0,4)
(-66,116)
(-37,161)
(-86,92)
(-83,107)
(-100,98)
(-70,168)
(0,0)
(0,0)
(0,0)
(2,0)
(-1,0)
(1,1)
(-2,0)
(51,48)
(53,44)
(-6,-1)
(10,15)
(-2,-1)
(11,16)
(-5,-8)
(-27,-14)
(-3,-1)
(0,0)
(128,-1)
(0,1)
(8,11)
(0,0)
(-1,-1)
(0,-2)
(-1,-12)
(0,0)
(15,12)
(-68,111)
(-16,-8)
(-79,90)
(101,129)
(6,-7)
(0,0)
(-41,160)
(0,0)
(-119,12)
(-2,1)
(-15,3)
(0,0)
(0,0)
(-168,-23)
(-4,-3)
(47,43)
(15,17)
(-45,-25)
(-22,-24)
(-20,-21)
(1,8)
(-27,-14)
(0,-1)
(0,1)
(4,2)
(-3,-3)
(4,3)
(0,0)
(0,0)
(0,3)
(0,-4)
(24,18)
(-11,138)
(-63,71)
(-1,14)
(97,116)
(0,0)
(22,1)
(33,-3)
(1,0)
(-19,-1)
(4,-1)
(1,0)
(-3,0)
(1,-1)
(46,-21)
(0,0)
(2,6)
(-61,-39)
(-27,-24)
(-54,-36)
(-22,-29)
(0,2)
(-36,-27)
(0,0)
(0,-1)
(0,0)
(-16,-13)
(-19,-15)
(1,0)
(157,44)
(-1,-17)
(0,-1)
(0,6)
(-12,117)
(1,6)
