(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-3,0)
(0,0)
(1,12)
(0,0)
(29,2)
(0,0)
(-1,0)
(-6,0)
(-10,0)
(8,3)
(-2,0)
(0,0)
(-134,40)
(0,0)
(-1,0)
(0,0)
(6,2)
(64,37)
(8,8)
(55,37)
(37,39)
(-4,0)
(-3,0)
(-2,0)
(-47,39)
(0,0)
(-14,15)
(0,1)
(0,1)
(0,0)
(0,0)
(0,0)
(-1,-7)
(0,-2)
(1,12)
(0,11)
(0,0)
(168,156)
(-15,-3)
(0,1)
(-24,-1)
(1,0)
(0,0)
(0,0)
(0,1)
(0,1)
(11,8)
(11,5)
(68,48)
(46,35)
(25,22)
(27,22)
(13,13)
(21,22)
(10,9)
(24,3)
(2,-2)
(1,-2)
(-19,5)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,-2)
(0,2)
(163,161)
(7,6)
(125,113)
(-1,1)
(-25,6)
(-13,-1)
(-29,-5)
(0,-1)
(0,1)
(0,0)
(78,69)
(-4,-2)
(55,43)
(33,24)
(36,35)
(53,40)
(-29,-11)
(28,32)
(1,2)
(-13,-10)
(0,-8)
(-5,7)
(-30,-15)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-1,-21)
(0,0)
(0,1)
(-60,80)
(-67,80)
(-37,161)
(-3,6)
(-16,15)
(-91,74)
(0,0)
(-1,0)
(-1,0)
(2,0)
(0,0)
(-6,-1)
(14,3)
(0,0)
(-16,-4)
(25,27)
(31,37)
(-20,-13)
(2,4)
(-1,-5)
(-3,-4)
(-3,-1)
(-35,-14)
(0,0)
(101,175)
(-1,0)
(0,-2)
(2,3)
(0,0)
(-1,-21)
(0,-1)
(141,57)
(0,1)
(0,-4)
(24,-11)
(-37,146)
(-11,9)
(2,-3)
(0,0)
(-44,187)
(2,-1)
(1,0)
(-1,0)
(-2,0)
(0,0)
(-1,0)
(0,0)
(-3,-2)
(42,40)
(13,16)
(-27,-21)
(-32,-26)
(-13,-16)
(-8,8)
(-19,1)
(0,1)
(5,5)
(5,0)
(-11,-5)
(4,4)
(-1,-1)
(0,0)
(0,-2)
(141,52)
(0,-2)
(124,111)
(-49,133)
(8,-4)
(-60,109)
(0,0)
(1,0)
(0,0)
(0,0)
(17,-4)
(-3,1)
(-1,0)
(1,0)
(0,0)
(-1,0)
(0,0)
(-1,-2)
(4,6)
(-3,-4)
(-22,-24)
(16,2)
(-1,-2)
(-52,-40)
(0,0)
(0,-1)
(2,1)
(-3,-1)
(-5,-4)
(0,0)
(0,0)
(0,-1)
(0,13)
(9,5)
(7,21)
(-40,108)
(6,-7)
(100,104)
