(0,0)
(1,0)
(0,0)
(-1,0)
(0,0)
(-2,0)
(1,18)
(1,13)
(0,0)
(31,1)
(0,0)
(19,0)
(13,0)
(0,0)
(1,0)
(2,0)
(0,0)
(-134,39)
(0,0)
(52,29)
(0,0)
(-4,0)
(72,43)
(-3,0)
(50,36)
(-1,0)
(13,19)
(9,18)
(-26,88)
(0,0)
(0,0)
(-1,1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,1)
(0,-3)
(0,-3)
(0,1)
(0,-1)
(144,124)
(-8,-4)
(-1,-1)
(-19,-1)
(10,3)
(-10,-5)
(0,0)
(0,-2)
(0,-1)
(1,0)
(43,16)
(-1,-3)
(69,42)
(-19,-4)
(35,31)
(35,36)
(-4,-6)
(13,12)
(14,1)
(3,-2)
(-5,8)
(-16,2)
(0,-1)
(0,0)
(0,-1)
(0,0)
(0,-1)
(0,-1)
(0,0)
(0,-1)
(0,9)
(0,-1)
(10,4)
(137,157)
(-1,0)
(-26,2)
(-36,-4)
(0,-1)
(0,-1)
(0,-2)
(0,-1)
(-1,-2)
(-7,-6)
(4,2)
(56,42)
(15,8)
(14,6)
(11,6)
(14,15)
(2,3)
(22,6)
(14,-12)
(4,-7)
(-27,-9)
(0,0)
(0,-1)
(0,-1)
(0,0)
(0,-1)
(0,-1)
(0,-2)
(-1,-15)
(0,3)
(0,-4)
(-1,-6)
(1,-3)
(0,0)
(-58,150)
(-19,10)
(-82,178)
(1,-1)
(-10,4)
(1,-1)
(2,-1)
(3,-1)
(1,-1)
(0,-1)
(2,0)
(-34,-16)
(-48,-22)
(14,13)
(-8,-11)
(-18,-24)
(-1,-5)
(1,-2)
(-27,-9)
(0,0)
(1,-1)
(2,-2)
(183,171)
(0,-1)
(0,-1)
(0,0)
(0,-4)
(0,7)
(-49,73)
(-66,88)
(-4,-11)
(1,-3)
(-17,11)
(-8,-10)
(-77,172)
(1,0)
(-82,193)
(-84,-30)
(-134,9)
(-4,0)
(1,-1)
(1,-1)
(0,-1)
(2,0)
(36,34)
(38,31)
(-24,-18)
(-17,-19)
(-12,-15)
(-4,3)
(-28,-9)
(0,-2)
(194,41)
(187,181)
(2,1)
(-1,-4)
(-2,-4)
(0,-1)
(0,-3)
(0,-3)
(0,-4)
(0,-2)
(19,-13)
(-84,81)
(-59,110)
(1,-2)
(2,-1)
(8,-1)
(2,-1)
(1,-1)
(1,-1)
(3,-1)
(-2,-1)
(-3,-2)
(14,46)
(1,-1)
(1,-1)
(-3,-6)
(-10,-15)
(-2,-6)
(0,-4)
(-3,5)
(0,-2)
(0,0)
(0,-3)
(2,-1)
(0,-2)
(2,-1)
(0,0)
(0,-1)
(0,-4)
(0,1)
(0,-3)
(0,4)
(-51,111)
(-36,87)
(0,0)
(-4,7)
(1,-2)
(0,-2)
(-8,-3)
(1,-2)
(4,-2)
(3,-1)
(-21,158)
(2,0)
(5,-40)
(8,43)
(1,-1)
(36,32)
(32,22)
(18,9)
(-32,-37)
(-59,-48)
(0,-3)
(0,-2)
(6,-1)
(-6,-2)
(-13,-2)
(9,-1)
(-11,-2)
(-26,-2)
(-1,-18)
(0,12)
(0,-11)
(-34,92)
(17,-23)
(-35,79)
(0,0)
(3,-4)
(1,-2)
(8,-1)
(-8,-3)
(2,-1)
(-70,94)
(1,-2)
(34,60)
(3,4)
(1,-1)
(1,0)
(1,-1)
(2,2)
(-60,-45)
(-26,-32)
(-28,-34)
(-1,-3)
(-4,-6)
(128,30)
(120,6)
(-13,-2)
(-6,-2)
(-10,-2)
(-10,-2)
(3,-1)
(0,-2)
(0,4)
(0,-4)
(-22,54)
(-4,-21)
(107,86)
(1,-1)
(2,-3)
(0,0)
(3,-2)
(9,82)
(10,85)
(-82,26)
(2,-4)
(2,-1)
(-163,106)
(1,-3)
(1,-2)
(-1,-8)
(2,4)
(3,3)
(10,8)
(11,2)
(-1,-1)
(-42,-40)
(9,-1)
(-5,-2)
(-7,-2)
(-10,-2)
(16,-1)
(-6,-2)
(-7,-2)
(0,-2)
(0,-4)
(7,94)
(-8,-1)
(-5,-22)
(-18,-32)
(1,-1)
(0,10)
(2,-2)
(4,-2)
(1,-3)
(2,-1)
(6,6)
(-76,-9)
(2,-1)
