(1,1)
(-2,2)
(0,1)
(0,1)
(29,84)
(47,48)
(0,1)
(0,1)
(0,1)
(-1,2)
(0,1)
(1,1)
(-32,100)
(-34,99)
(133,1)
(0,1)
(-3,2)
(7,0)
(-3,2)
(0,1)
(0,1)
(-41,10)
(-55,22)
(-2,2)
(0,1)
(0,2)
(0,1)
(-1,1)
(1,1)
(0,1)
(-28,141)
(-126,130)
(1,1)
(0,2)
(0,2)
(0,2)
(1,2)
(0,1)
(-1,2)
(0,1)
(0,1)
(-1,1)
(0,1)
(159,-6)
(0,1)
(2,1)
(5,0)
(5,0)
(0,1)
(0,1)
(0,1)
(-5,3)
(20,118)
(-1,2)
(-1,1)
(0,2)
(0,1)
(0,1)
(0,2)
(0,1)
(0,1)
(-57,130)
(-152,38)
(-7,1)
(0,1)
(0,1)
(1,1)
(0,1)
(0,1)
(1,1)
(0,1)
(1,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-1,2)
(0,1)
(0,1)
(-1,2)
(1,1)
(3,1)
(1,1)
(-1,1)
(-1,2)
(0,1)
(0,1)
(0,1)
(-4,1)
(0,1)
(1,1)
(-5,1)
(1,1)
(-1,1)
(-1,1)
(-1,1)
(0,1)
(-1,1)
(186,104)
(0,1)
(0,2)
(1,1)
(0,1)
(33,62)
(-1,2)
(-1,2)
(-1,2)
(-1,2)
(0,1)
(0,1)
(0,1)
(0,1)
(0,2)
(-1,1)
(0,1)
(0,1)
(0,2)
(0,1)
(0,1)
(-56,28)
(0,1)
(6,8)
(-1,2)
(-1,2)
(7,16)
(-1,2)
(4,2)
(-1,2)
(0,1)
(0,1)
(0,1)
(0,1)
(1,0)
(-1,3)
(0,2)
(1,0)
(-6,10)
(-2,4)
(1,0)
(1,0)
(4,-1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(1,0)
(-1,2)
(-1,2)
(0,1)
(-20,6)
(0,1)
(4,2)
(0,-8)
(20,2)
(17,8)
(9,14)
(3,-6)
(-10,0)
(0,1)
(0,1)
(0,1)
(0,2)
(0,2)
(0,2)
(0,1)
(8,-10)
(1,0)
(6,-8)
(-1,2)
(-1,2)
(1,0)
(0,2)
(0,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(0,1)
(-1,2)
(-1,2)
(-1,2)
(19,-4)
(-21,8)
(-5,0)
(18,-4)
(23,8)
(23,8)
(11,0)
(0,0)
(-7,4)
(0,1)
(0,1)
(0,1)
(0,2)
(121,92)
(0,2)
(5,-6)
(-2,4)
(-6,10)
(-2,4)
(1,0)
(1,1)
(0,2)
(0,1)
(-64,59)
(-97,-10)
(-1,1)
(1,1)
(0,1)
(0,2)
(57,6)
(10,2)
(18,-2)
(1,0)
(-1,2)
(21,2)
(0,0)
(-4,-2)
(21,-10)
(-2,-6)
(-11,-10)
(-5,-22)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-2,4)
(1,0)
(-35,56)
(-10,16)
(1,0)
(0,3)
(0,1)
(0,1)
(0,1)
(-66,52)
(0,1)
(0,1)
(0,1)
(-1,1)
(-1,1)
(0,1)
(-1,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(-4,1)
(-1,1)
(1,0)
(0,1)
(0,1)
(0,1)
(1,0)
(5,-6)
(-2,4)
(6,-8)
(1,0)
(0,1)
(-3,2)
(-1,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-158,26)
(-1,1)
(0,0)
(1,1)
(0,1)
(1,0)
(1,0)
(5,-6)
(-27,44)
(2,-2)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(-1,1)
(0,1)
(-1,1)
(-123,128)
(0,1)
(0,1)
(0,1)
(2,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(0,1)
(0,1)
(-1,1)
(0,1)
(1,1)
(0,1)
(1,0)
(-2,4)
(-22,36)
(6,-8)
(0,1)
(-1,2)
(0,1)
(-31,38)
(0,1)
(0,1)
(-1,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(0,1)
(-1,2)
(0,1)
(0,1)
(1,1)
(0,1)
(0,1)
(-6,-3)
(0,1)
(0,1)
(8,2)
(-176,129)
(-91,4)
(0,1)
(0,1)
(1,0)
(1,0)
(0,1)
