(150,9)
(-4,0)
(0,0)
(35,83)
(20,105)
(21,82)
(4,1)
(80,51)
(-9,195)
(146,136)
(-1,0)
(6,126)
(29,207)
(108,148)
(11,130)
(0,133)
(75,151)
(83,149)
(-9,1)
(-78,11)
(-3,0)
(-66,6)
(60,128)
(-14,130)
(-103,100)
(-54,143)
(0,0)
(0,0)
(-1,0)
(-3,54)
(1,246)
(-166,126)
(0,-1)
(0,0)
(204,230)
(0,0)
(14,98)
(181,131)
(14,74)
(0,-1)
(0,-1)
(-16,90)
(-16,92)
(29,124)
(45,118)
(0,-1)
(-7,1)
(-31,80)
(-10,2)
(1,-1)
(-3,0)
(-9,2)
(2,-1)
(0,0)
(0,0)
(-118,104)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(5,-1)
(0,-1)
(-3,-1)
(0,-1)
(0,-2)
(0,-1)
(0,-1)
(202,228)
(0,-1)
(52,112)
(0,-1)
(52,-16)
(-10,94)
(38,114)
(-2,0)
(142,114)
(3,-2)
(-1,0)
(0,-1)
(-56,10)
(5,-3)
(-1,0)
(9,-2)
(0,0)
(-1,0)
(0,-1)
(-1,0)
(4,0)
(0,0)
(-2,0)
(3,0)
(1,-1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(-1,-1)
(227,36)
(211,106)
(0,-1)
(1,-1)
(0,-1)
(89,108)
(1,-2)
(-6,132)
(-9,-2)
(-1,0)
(0,-1)
(0,-1)
(0,-1)
(-45,68)
(0,-1)
(54,111)
(1,-1)
(0,-1)
(-1,0)
(-54,18)
(0,-1)
(0,-1)
(0,-1)
(-1,0)
(-2,12)
(12,14)
(-1,0)
(-1,0)
(-21,0)
(-1,0)
(0,-1)
(0,-1)
(3,0)
(181,106)
(-29,158)
(108,100)
(-3,18)
(-1,86)
(-2,2)
(-6,8)
(1,-2)
(-6,16)
(-4,93)
(-6,2)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,0)
(0,-1)
(0,0)
(0,0)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(22,16)
(7,4)
(6,6)
(-9,16)
(3,14)
(-32,-8)
(0,-1)
(0,-1)
(0,-1)
(0,0)
(0,0)
(95,88)
(0,-1)
(-23,32)
(-59,88)
(-2,2)
(0,0)
(-1,0)
(-8,5)
(0,0)
(0,0)
(0,-1)
(0,-1)
(1,-1)
(0,-1)
(-1,0)
(-1,0)
(-1,0)
(21,-2)
(-1,0)
(15,0)
(6,-2)
(12,-4)
(-1,0)
(0,-2)
(7,6)
(-6,0)
(-1,0)
(1,-1)
(0,-1)
(-1,152)
(0,-2)
(0,-1)
(0,-2)
(0,-2)
(5,-8)
(-45,70)
(1,-2)
(1,-2)
(-2,3)
(-1,0)
(0,0)
(1,-1)
(0,0)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,0)
(25,-6)
(18,-4)
(-1,0)
(14,-14)
(23,-4)
(23,-4)
(13,-6)
(11,-2)
(-1,0)
(-9,-6)
(-1,0)
(0,-1)
(1,-1)
(0,-1)
(0,-1)
(0,-1)
(7,94)
(-17,24)
(-51,80)
(-11,16)
(-1,0)
(4,-4)
(-28,33)
(0,-1)
(-1,4)
(26,-5)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(89,66)
(0,-1)
(0,-1)
(0,-1)
(0,0)
(-5,6)
(-44,66)
(-6,8)
(-59,96)
(-2,6)
(-15,22)
(0,-1)
(-1,-1)
(1,-1)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(-1,-1)
(0,-1)
(-1,-1)
(0,-1)
(6,0)
(-21,77)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-13,18)
(-9,12)
(-32,50)
(-2,2)
(-5,6)
(1,0)
(0,-1)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(72,94)
(65,72)
(-60,54)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(30,8)
(0,-1)
(0,-1)
(-1,-1)
(-1,-1)
(1,-1)
(1,-1)
(0,-1)
(1,-2)
(6,-10)
(-27,42)
(-18,28)
(-20,32)
(-3,6)
(19,56)
(-22,26)
(1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(-113,126)
(0,0)
(-4,-1)
(-138,124)
(0,-1)
(0,-1)
(16,9)
(-116,133)
(0,-1)
(0,-1)
(-1,-1)
(-147,139)
(-1,-1)
(0,-1)
(0,-1)
(1,-2)
(24,-36)
(-15,22)
(-29,46)
(0,0)
(5,1)
(40,-28)
(-6,26)
(51,40)
(59,46)
(-7,1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(-35,130)
(-1,-1)
(-13,-2)
(-1,-1)
(0,-1)
(-1,-1)
(-1,-1)
(-125,120)
(-134,120)
(-1,-1)
(0,0)
(0,-1)
(0,-2)
(-145,130)
(-1,-3)
(0,-2)
(-1,0)
(-1,0)
(0,0)
(-1,-1)
(3,-6)
(0,-2)
(1,-1)
(50,-52)
(153,37)
(0,-1)
(37,111)
(0,-1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-1,0)
(-1,-2)
(0,-1)
(0,-1)
(-1,-1)
(-1,-2)
(15,0)
(-1,-1)
(-5,-2)
(-1,-1)
(49,10)
(1,-2)
(5,-22)
(0,-1)
(0,-2)
(-29,48)
(56,-45)
(-1,-1)
(112,104)
(167,-94)
(0,-1)
(63,-74)
(0,-1)
(18,-14)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(-4,-1)
(-118,96)
(14,-26)
(1,-2)
(0,-1)
(51,2)
(1,-1)
(22,0)
(-12,-2)
(-18,-2)
(-16,-2)
(-16,-2)
(-38,-3)
(4,28)
(2,-4)
(36,-84)
(-13,20)
(3,-6)
(-15,24)
(0,-2)
(3,-6)
(1,-2)
(0,-1)
(140,-102)
(0,-1)
(0,-1)
(0,-1)
(0,-1)
(0,-2)
(-1,-1)
(0,-1)
(0,-1)
(-1,-1)
(0,-1)
(0,-2)
(2,-4)
(48,14)
(7,-4)
(-14,0)
(-21,-1)
(24,5)
(3,1)
(-7,16)
(-3,1)
(-2,3)
(6,-10)
(-2,2)
(40,-92)
(19,-32)
(4,-8)
(96,-73)
(0,-2)
(2,-4)
(-31,20)
(19,-114)
(1,-1)
(1,-1)
(0,-1)
(0,-2)
(0,-1)
(0,-2)
(0,-2)
(0,-1)
(0,-2)
(0,-2)
(0,-2)
(-82,-32)
(49,-7)
(23,1)
(54,0)
(29,-4)
(16,8)
(-6,8)
(5,8)
(11,-10)
(-9,-2)
(-39,1)
(3,-6)
(166,-16)
(-3,4)
(9,-16)
(86,-80)
(24,-36)
(-25,24)
(93,0)
(86,2)
(1,-2)
(-5,2)
(-26,-51)
(0,-1)
(-26,-59)
(-1,-1)
(-23,-3)
(-44,-4)
(4,4)
(-3,0)
(-1,-1)
(26,-20)
(46,-4)
(48,-19)
(17,-2)
(34,-7)
(27,1)
(23,-20)
(2,1)
(14,-18)
(-4,-14)
(-7,-12)
(-31,0)
(7,-12)
(48,-104)
(20,-34)
(-3,4)
(0,-2)
(39,-80)
(-17,8)
(6,-30)
(1,-2)
(0,-1)
(-22,-49)
(1,-2)
(33,-85)
(-30,-60)
(0,-2)
(71,72)
(17,-6)
(-21,2)
(-1,-1)
(0,-1)
(-10,4)
(-61,65)
(7,-1)
(8,-1)
(10,-1)
(9,-1)
(-13,-2)
(-37,2)
(-1,-1)
(-5,-2)
(-21,-6)
(-1,0)
(60,-12)
(4,-8)
(-10,16)
(0,-2)
(47,-86)
(0,-2)
(73,-21)
(0,-2)
(0,-2)
(0,-2)
(1,-2)
(109,-1)
(0,-2)
(0,-2)
(-31,-40)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(35,1)
(-18,-8)
(0,-2)
(47,-138)
(60,-143)
(11,0)
(-1,-1)
(-125,-19)
(-133,-84)
(-1,-1)
(0,-2)
(0,-2)
(-1,-1)
(59,-122)
(9,-16)
(-1,0)
(212,-144)
(27,0)
(25,-84)
(186,-142)
(191,-152)
(0,-2)
(0,-2)
(-77,-150)
(0,-2)
(0,-2)
(0,-2)
(89,-7)
(0,-2)
(59,-14)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(2,-5)
(34,-147)
(-1,-1)
(-1,-2)
(-106,-152)
(-1,-2)
(0,-1)
(-1,-1)
(38,-64)
(-2,2)
(-5,5)
(1,-2)
(0,-2)
(0,-2)
(15,-74)
(0,-2)
(0,-2)
(-1,-2)
(-1,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
(0,-2)
