(2,0)
(2,0)
(11,78)
(-22,83)
(0,0)
(1,0)
(-17,0)
(95,97)
(182,108)
(-13,96)
(0,0)
(-84,116)
(0,0)
(13,103)
(-13,57)
(74,86)
(0,0)
(-92,6)
(-1,0)
(1,0)
(1,0)
(1,0)
(0,0)
(1,0)
(-55,28)
(1,0)
(0,0)
(-40,242)
(1,0)
(0,0)
(-207,180)
(-208,168)
(1,0)
(1,0)
(3,0)
(0,-1)
(1,0)
(170,79)
(-40,108)
(-40,90)
(-5,8)
(1,0)
(-2,4)
(-53,52)
(43,93)
(-20,61)
(-39,88)
(1,-1)
(1,0)
(1,-1)
(-51,97)
(1,0)
(-52,16)
(1,0)
(1,0)
(-43,20)
(1,0)
(1,0)
(0,18)
(1,0)
(-14,16)
(-5,10)
(-4,8)
(-3,8)
(1,0)
(1,0)
(1,0)
(116,12)
(2,-2)
(188,87)
(124,116)
(1,0)
(-2,4)
(6,-8)
(2,-2)
(-9,52)
(13,-6)
(-48,94)
(1,-1)
(-22,25)
(1,0)
(1,0)
(1,0)
(-47,6)
(2,-2)
(-3,-2)
(-3,4)
(2,-2)
(-12,10)
(2,-2)
(9,12)
(-6,2)
(-16,2)
(-25,0)
(-5,0)
(-16,2)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(52,38)
(1,0)
(5,-6)
(-13,20)
(-43,68)
(1,0)
(50,75)
(85,85)
(-33,56)
(-35,21)
(-31,19)
(-25,11)
(-65,32)
(-63,22)
(-70,77)
(0,0)
(7,-2)
(0,0)
(-1,2)
(3,-4)
(0,0)
(10,2)
(12,-2)
(15,-8)
(-5,0)
(-9,-12)
(-5,0)
(1,0)
(2,0)
(1,0)
(2,0)
(141,78)
(26,72)
(-6,10)
(-14,22)
(1,0)
(-5,8)
(58,73)
(-8,2)
(120,83)
(-30,72)
(-35,74)
(-35,15)
(-38,10)
(-22,-9)
(15,204)
(1,-1)
(1,0)
(1,0)
(1,0)
(1,0)
(1,-1)
(1,0)
(1,-1)
(0,0)
(1,0)
(0,0)
(6,0)
(-10,-1)
(1,-1)
(2,0)
(1,0)
(1,0)
(1,0)
(1,0)
(-9,14)
(22,-32)
(2,-2)
(10,-12)
(25,56)
(-6,-4)
(1,0)
(-40,26)
(2,0)
(1,-1)
(9,-6)
(1,-1)
(1,0)
(93,170)
(1,-1)
(1,0)
(1,-1)
(0,-1)
(-57,62)
(-5,-2)
(-40,187)
(1,0)
(1,-1)
(1,-1)
(0,-1)
(-1,-1)
(1,0)
(1,-1)
(1,-1)
(1,0)
(20,-16)
(-6,10)
(-5,8)
(14,-20)
(25,-38)
(14,-18)
(-41,48)
(-21,19)
(2,-1)
(1,0)
(1,0)
(2,-1)
(1,0)
(3,129)
(-37,-34)
(0,0)
(-25,22)
(1,-1)
(1,0)
(1,-1)
(1,-1)
(1,-1)
(0,0)
(1,-1)
(1,-1)
(1,-1)
(0,-1)
(-1,-1)
(2,0)
(1,-1)
(1,0)
(1,0)
(1,0)
(1,0)
(22,-32)
(32,-48)
